exch_name,exch_id,remarks
Binance,BINANCE,
Binance.US,BINANCEUS,
Bitfinex,BITFINEX,
bitFlyer,BITFLYER,
Bitget,BITGET,
Bithumb,BITHUMB,
BitMEX,BITMEX,
Bitstamp,BITSTAMP,
Bittrex,BITTREX,
Bybit,BYBIT,
Crypto.com,CRYPTOCOM,
Deribit,DERIBIT,
Gate.io,GATEIO,
Gemini,GEMINI,
HTX,HUOBI,
Kraken,KRAKEN,
KuCoin,KUCOIN,
OKX,OKX,
Poloniex,POLONIEX,
UpBit,UPBIT,
WhiteBIT,WHITEBIT,
WOO X,WOOX,
Agni (Mantle),Agni (Mantle),Not in TradingView
BaseSwap (Base),BaseSwap (Base),Not in TradingView
BCHAIN (Nasdaq Data Link),BCHAIN (Nasdaq Data Link),Not in TradingView
BingX,BingX,Not in TradingView
Biswap v2 (BNB chain),Biswap v2 (BNB chain),Not in TradingView
Bitazza,Bitazza,Not in TradingView
Bitkub,Bitkub,Not in TradingView
BitMart,BitMart,Not in TradingView
Bitrue,Bitrue,Not in TradingView
Bitso,Bitso,Not in TradingView
Bitvavo,Bitvavo,Not in TradingView
BloFin,BloFin,Not in TradingView
Bluefin (Sui),Bluefin (Sui),Not in TradingView
Brave New Coin,Brave New Coin,Not in TradingView
BTSE,BTSE,Not in TradingView
Camelot v2 (Arbitrum),Camelot v2 (Arbitrum),Not in TradingView
Camelot v3 (Arbitrum),Camelot v3 (Arbitrum),Not in TradingView
Cetus (Sui),Cetus (Sui),Not in TradingView
Cleopatra v2 (Mantle),Cleopatra v2 (Mantle),Not in TradingView
Coin Metrics,Coin Metrics,Not in TradingView
CoinEx,CoinEx,Not in TradingView
Curve (Ethereum),Curve (Ethereum),Not in TradingView
DeDust.io (TON),DeDust.io (TON),Not in TradingView
Defi Llama,Defi Llama,Not in TradingView
Delta Exchange,Delta Exchange,Not in TradingView
Delta Exchange India,Delta Exchange India,Not in TradingView
Glassnode,Glassnode,Not in TradingView
Honeyswap v2 (Gnosis),Honeyswap v2 (Gnosis),Not in TradingView
IntoTheBlock,IntoTheBlock,Not in TradingView
Katana (Ronin),Katana (Ronin),Not in TradingView
KCEX,KCEX,Not in TradingView
LunarCrush,LunarCrush,Not in TradingView
Lynex (Linea),Lynex (Linea),Not in TradingView
Lynex v2 (Linea),Lynex v2 (Linea),Not in TradingView
Merchant Moe LB (Mantle),Merchant Moe LB (Mantle),Not in TradingView
MEXC,MEXC,Not in TradingView
MM Finance (Cronos),MM Finance (Cronos),Not in TradingView
Nile (Line),Nile (Line),Not in TradingView
Nile v1 (Line),Nile v1 (Line),Not in TradingView
Okcoin,Okcoin,Not in TradingView
Orca (Solana),Orca (Solana),Not in TradingView
Osmosis,Osmosis,Not in TradingView
PancakeSwap v2 (BNB chain),PancakeSwap v2 (BNB chain),Not in TradingView
PancakeSwap v3 (BNB chain),PancakeSwap v3 (BNB chain),Not in TradingView
PancakeSwap v3 (Ethereum),PancakeSwap v3 (Ethereum),Not in TradingView
PancakeSwap v3 (Linea),PancakeSwap v3 (Linea),Not in TradingView
Pangolin v2 (Avalanche),Pangolin v2 (Avalanche),Not in TradingView
Phemex,Phemex,Not in TradingView
Pionex,Pionex,Not in TradingView
Pulsex (Pulsechain),Pulsex (Pulsechain),Not in TradingView
PulseX v2 (Pulsechain),PulseX v2 (Pulsechain),Not in TradingView
Pyth,Pyth,Not in TradingView
QuickSwap v2 (Polygon),QuickSwap v2 (Polygon),Not in TradingView
QuickSwap v3 (Polygon zkEVM),QuickSwap v3 (Polygon zkEVM),Not in TradingView
QuickSwap v3 (Polygon),QuickSwap v3 (Polygon),Not in TradingView
Raydium (Solana),Raydium (Solana),Not in TradingView
Shadow (Sonic),Shadow (Sonic),Not in TradingView
SpookySwap v2 (Fantom),SpookySwap v2 (Fantom),Not in TradingView
STON.fi (TON),STON.fi (TON),Not in TradingView
SunSwap v2 (TRON),SunSwap v2 (TRON),Not in TradingView
SunSwap v3 (TRON),SunSwap v3 (TRON),Not in TradingView
SushiSwap v2 (Ethereum),SushiSwap v2 (Ethereum),Not in TradingView
SushiSwap v2 (Polygon),SushiSwap v2 (Polygon),Not in TradingView
Thruster v3 (Blast),Thruster v3 (Blast),Not in TradingView
Tokenize,Tokenize,Not in TradingView
Toobit,Toobit,Not in TradingView
Trader Joe v2 (Avalanche),Trader Joe v2 (Avalanche),Not in TradingView
Turbos Finance (Sui),Turbos Finance (Sui),Not in TradingView
Uniswap v2 (Ethereum),Uniswap v2 (Ethereum),Not in TradingView
Uniswap v3 (Arbitrum),Uniswap v3 (Arbitrum),Not in TradingView
Uniswap v3 (Avalanche),Uniswap v3 (Avalanche),Not in TradingView
Uniswap v3 (Base),Uniswap v3 (Base),Not in TradingView
Uniswap v3 (BNB chain),Uniswap v3 (BNB chain),Not in TradingView
Uniswap v3 (Ethereum),UNISWAP3ETH,
Uniswap v3 (Optimism),Uniswap v3 (Optimism),Not in TradingView
Uniswap v3 (Polygon),Uniswap v3 (Polygon),Not in TradingView
Velodrome (Optimism),Velodrome (Optimism),Not in TradingView
Volmex,Volmex,Not in TradingView
VVS Finance (Cronos),VVS Finance (Cronos),Not in TradingView
Wagmi (Sonic),Wagmi (Sonic),Not in TradingView
Webull Pay,Webull Pay,Not in TradingView
WEEX,WEEX,
xExchange,xExchange,Not in TradingView
Zoomex,Zoomex,Not in TradingView